"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 15:44:44 UTC 2026","Mon Aug 31 15:44:47 UTC 2026","2183","tests","test_product_page","TestProductPage","","","test_price_format_correct[se]","TC-PP-02: Price uses correct decimal separator and symbol position."
"passed","Mon Aug 31 15:45:34 UTC 2026","Mon Aug 31 15:45:36 UTC 2026","1927","tests","test_search_results","TestSearchResults","","","test_search_results_language[us]","TC-SR-02: Results summary is not empty and page is in the correct language."
"passed","Mon Aug 31 15:43:58 UTC 2026","Mon Aug 31 15:43:58 UTC 2026","8","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_html_lang_absent[se]","TC-NL-06: HTML lang attribute must not be set to another locale's language code."
"passed","Mon Aug 31 15:43:22 UTC 2026","Mon Aug 31 15:43:22 UTC 2026","13","tests","test_homepage","TestHomepage","","","test_navigation_language[de]","TC-HP-02: Navigation bar contains the expected locale nav item."
"passed","Mon Aug 31 15:42:58 UTC 2026","Mon Aug 31 15:42:58 UTC 2026","5","tests","test_footer","TestFooter","","","test_footer_text_present[de]","TC-FT-01: Footer contains IKEA copyright notice on all locales."
"passed","Mon Aug 31 15:45:21 UTC 2026","Mon Aug 31 15:45:23 UTC 2026","1885","tests","test_search_results","TestSearchResults","","","test_search_price_currency[us]","TC-SR-01: First search result price contains the locale currency symbol."
"passed","Mon Aug 31 15:43:36 UTC 2026","Mon Aug 31 15:43:39 UTC 2026","2762","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_currency_absent_from_price[us]","TC-NL-01: Product price must not contain any other locale's currency symbol."
"passed","Mon Aug 31 15:43:30 UTC 2026","Mon Aug 31 15:43:33 UTC 2026","3001","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_currency_absent_from_price[de]","TC-NL-01: Product price must not contain any other locale's currency symbol."
"passed","Mon Aug 31 15:43:05 UTC 2026","Mon Aug 31 15:43:06 UTC 2026","1964","tests","test_footer","TestFooter","","","test_cookie_consent_language[de]","TC-FT-02: Cookie consent button text matches locale before cookies accepted."
"passed","Mon Aug 31 15:43:53 UTC 2026","Mon Aug 31 15:43:53 UTC 2026","3","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_html_lang_absent[de]","TC-NL-06: HTML lang attribute must not be set to another locale's language code."
"passed","Mon Aug 31 15:45:38 UTC 2026","Mon Aug 31 15:45:39 UTC 2026","1735","tests","test_search_results","TestSearchResults","","","test_search_results_language[se]","TC-SR-02: Results summary is not empty and page is in the correct language."
"passed","Mon Aug 31 15:45:09 UTC 2026","Mon Aug 31 15:45:11 UTC 2026","1881","tests","test_product_page","TestProductPage","","","test_add_to_cart_button_language[us]","TC-PP-04: Add-to-cart button text matches locale config."
"passed","Mon Aug 31 15:43:10 UTC 2026","Mon Aug 31 15:43:12 UTC 2026","1636","tests","test_footer","TestFooter","","","test_cookie_consent_language[se]","TC-FT-02: Cookie consent button text matches locale before cookies accepted."
"passed","Mon Aug 31 15:45:12 UTC 2026","Mon Aug 31 15:45:15 UTC 2026","2412","tests","test_product_page","TestProductPage","","","test_add_to_cart_button_language[se]","TC-PP-04: Add-to-cart button text matches locale config."
"passed","Mon Aug 31 15:45:25 UTC 2026","Mon Aug 31 15:45:27 UTC 2026","2020","tests","test_search_results","TestSearchResults","","","test_search_price_currency[se]","TC-SR-01: First search result price contains the locale currency symbol."
"passed","Mon Aug 31 15:43:28 UTC 2026","Mon Aug 31 15:43:28 UTC 2026","12","tests","test_homepage","TestHomepage","","","test_navigation_language[se]","TC-HP-02: Navigation bar contains the expected locale nav item."
"passed","Mon Aug 31 15:43:46 UTC 2026","Mon Aug 31 15:43:46 UTC 2026","36","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_nav_language_absent[de]","TC-NL-03: Navigation must not contain any other locale's nav item text."
"passed","Mon Aug 31 15:45:29 UTC 2026","Mon Aug 31 15:45:30 UTC 2026","1700","tests","test_search_results","TestSearchResults","","","test_search_results_language[de]","TC-SR-02: Results summary is not empty and page is in the correct language."
"passed","Mon Aug 31 15:44:31 UTC 2026","Mon Aug 31 15:44:32 UTC 2026","1732","tests","test_product_page","TestProductPage","","","test_currency_symbol_correct[se]","TC-PP-01: Currency symbol in price matches locale config."
"passed","Mon Aug 31 15:43:56 UTC 2026","Mon Aug 31 15:43:56 UTC 2026","10","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_html_lang_absent[us]","TC-NL-06: HTML lang attribute must not be set to another locale's language code."
"passed","Mon Aug 31 15:44:04 UTC 2026","Mon Aug 31 15:44:06 UTC 2026","1833","tests","test_mobile","TestMobileViewport","","","test_html_lang_matches_locale_on_mobile[se]","TC-MB-01: HTML lang attribute is correct when viewed on a mobile viewport."
"passed","Mon Aug 31 15:44:21 UTC 2026","Mon Aug 31 15:44:24 UTC 2026","2492","tests","test_product_page","TestProductPage","","","test_currency_symbol_correct[de]","TC-PP-01: Currency symbol in price matches locale config."
"passed","Mon Aug 31 15:44:15 UTC 2026","Mon Aug 31 15:44:19 UTC 2026","3995","tests","test_mobile","TestMobileViewport","","","test_currency_symbol_correct_on_mobile[se]","TC-MB-02: Currency symbol is correct on a product page viewed on mobile."
"passed","Mon Aug 31 15:43:02 UTC 2026","Mon Aug 31 15:43:02 UTC 2026","17","tests","test_footer","TestFooter","","","test_footer_text_present[us]","TC-FT-01: Footer contains IKEA copyright notice on all locales."
"passed","Mon Aug 31 15:43:58 UTC 2026","Mon Aug 31 15:44:00 UTC 2026","2103","tests","test_mobile","TestMobileViewport","","","test_html_lang_matches_locale_on_mobile[de]","TC-MB-01: HTML lang attribute is correct when viewed on a mobile viewport."
"passed","Mon Aug 31 15:44:34 UTC 2026","Mon Aug 31 15:44:37 UTC 2026","2208","tests","test_product_page","TestProductPage","","","test_price_format_correct[de]","TC-PP-02: Price uses correct decimal separator and symbol position."
"passed","Mon Aug 31 15:44:49 UTC 2026","Mon Aug 31 15:44:52 UTC 2026","2745","tests","test_product_page","TestProductPage","","","test_dimensions_in_correct_units[de]","TC-PP-03: Product dimensions text contains the locale unit."
"passed","Mon Aug 31 15:43:18 UTC 2026","Mon Aug 31 15:43:18 UTC 2026","9","tests","test_homepage","TestHomepage","","","test_html_lang_matches_locale[us]","TC-HP-01: HTML lang attribute matches the expected locale value."
"passed","Mon Aug 31 15:44:01 UTC 2026","Mon Aug 31 15:44:04 UTC 2026","3560","tests","test_mobile","TestMobileViewport","","","test_html_lang_matches_locale_on_mobile[us]","TC-MB-01: HTML lang attribute is correct when viewed on a mobile viewport."
"passed","Mon Aug 31 15:45:17 UTC 2026","Mon Aug 31 15:45:18 UTC 2026","1883","tests","test_search_results","TestSearchResults","","","test_search_price_currency[de]","TC-SR-01: First search result price contains the locale currency symbol."
"passed","Mon Aug 31 15:43:41 UTC 2026","Mon Aug 31 15:43:43 UTC 2026","2432","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_currency_absent_from_price[se]","TC-NL-01: Product price must not contain any other locale's currency symbol."
